,f,velo,l
2025-05-27 00:00:00,41.4834,0.21756666666666663,0.40599999999999997
2025-05-27 00:01:00,41.55287878787879,0.21784848484848485,0.40587878787878784
2025-05-27 00:02:00,41.64311111111111,0.21816666666666665,0.4056666666666666
2025-05-27 00:03:00,41.73015384615384,0.2184102564102564,0.40548717948717944
2025-05-27 00:04:00,41.75345238095239,0.21838095238095237,0.4054285714285714
2025-05-27 00:05:00,41.638400000000004,0.21786666666666665,0.40526666666666666
2025-05-27 00:06:00,41.656395833333335,0.21804166666666666,0.40504166666666663
2025-05-27 00:07:00,41.710352941176474,0.21841176470588236,0.40484313725490195
2025-05-27 00:08:00,41.72288888888889,0.2185925925925926,0.4046666666666667
2025-05-27 00:09:00,41.65650877192982,0.21838596491228068,0.40450877192982454
2025-05-27 00:10:00,41.49671666666667,0.21763333333333335,0.40436666666666665
2025-05-27 00:11:00,41.3906,0.2173,0.40408333333333335
2025-05-27 00:12:00,41.359449999999995,0.21728333333333333,0.40380000000000005
2025-05-27 00:13:00,41.46501666666667,0.21788333333333335,0.40358333333333335
2025-05-27 00:14:00,41.503949999999996,0.21811666666666665,0.4033666666666666
2025-05-27 00:15:00,41.559466666666665,0.2184,0.40298333333333336
2025-05-27 00:16:00,41.431799999999996,0.21776666666666666,0.40268333333333334
2025-05-27 00:17:00,41.30816666666667,0.21725,0.4023
2025-05-27 00:18:00,41.1141,0.21656666666666666,0.40185000000000004
2025-05-27 00:19:00,40.9129,0.21581666666666663,0.4014666666666667
2025-05-27 00:20:00,40.92006666666667,0.21603333333333335,0.4010166666666667
2025-05-27 00:21:00,40.871566666666666,0.21601666666666666,0.4005666666666666
2025-05-27 00:22:00,40.8681,0.2161833333333333,0.4001833333333334
2025-05-27 00:23:00,40.76348333333333,0.21601666666666666,0.39980000000000004
2025-05-27 00:24:00,40.62811666666667,0.21564999999999998,0.39935
2025-05-27 00:25:00,40.690733333333334,0.21615,0.39898333333333336
2025-05-27 00:26:00,40.6721,0.21626666666666666,0.3986
2025-05-27 00:27:00,40.58893333333334,0.2159333333333333,0.39813333333333334
2025-05-27 00:28:00,40.56903333333334,0.21591666666666667,0.39766666666666667
2025-05-27 00:29:00,40.6165,0.21628333333333333,0.39720000000000005
2025-05-27 00:30:00,40.79585,0.21745,0.3967333333333333
2025-05-27 00:31:00,40.8765,0.21818333333333334,0.39626666666666666
2025-05-27 00:32:00,40.8575,0.21836666666666665,0.3957333333333334
2025-05-27 00:33:00,40.60241666666666,0.2174666666666667,0.3952
2025-05-27 00:34:00,40.402566666666665,0.21683333333333335,0.39466666666666667
2025-05-27 00:35:00,40.13046666666666,0.21581666666666668,0.3942333333333333
2025-05-27 00:36:00,39.82096666666667,0.21478333333333333,0.3937166666666667
2025-05-27 00:37:00,39.75883333333333,0.21475000000000005,0.3932833333333333
2025-05-27 00:38:00,39.845416666666665,0.21525,0.39285000000000003
2025-05-27 00:39:00,39.94791666666667,0.2158666666666667,0.3924166666666667
2025-05-27 00:40:00,39.87368333333333,0.21565000000000004,0.3919666666666667
2025-05-27 00:41:00,39.794666666666664,0.21548333333333333,0.3915166666666667
2025-05-27 00:42:00,39.582116666666664,0.2147666666666667,0.3910666666666667
2025-05-27 00:43:00,39.626783333333336,0.21511666666666668,0.3906166666666667
2025-05-27 00:44:00,39.88596666666667,0.21648333333333336,0.39016666666666666
2025-05-27 00:45:00,40.14535,0.21776666666666666,0.3897166666666667
2025-05-27 00:46:00,40.53181666666667,0.2195666666666667,0.3892666666666667
2025-05-27 00:47:00,40.894666666666666,0.22143333333333337,0.38875000000000004
2025-05-27 00:48:00,41.30061666666667,0.22349999999999998,0.3882333333333334
2025-05-27 00:49:00,41.70283333333334,0.22555,0.38771666666666665
2025-05-27 00:50:00,42.01541666666667,0.22714999999999996,0.3872
2025-05-27 00:51:00,42.39391666666667,0.229,0.3866
2025-05-27 00:52:00,42.6452,0.23026666666666668,0.38606666666666667
2025-05-27 00:53:00,42.969233333333335,0.2319,0.38545
2025-05-27 00:54:00,43.514133333333334,0.23453333333333334,0.38483333333333336
2025-05-27 00:55:00,44.028216666666665,0.23689999999999997,0.38428333333333337
2025-05-27 00:56:00,44.7526,0.24023333333333335,0.38373333333333337
2025-05-27 00:57:00,45.26756666666667,0.24264999999999998,0.3831833333333334
2025-05-27 00:58:00,45.70538333333333,0.24488333333333334,0.3826333333333333
2025-05-27 00:59:00,46.10733333333333,0.24705,0.38201666666666667
2025-05-27 01:00:00,46.60295,0.24964999999999998,0.38148333333333334
2025-05-27 01:01:00,46.99101666666667,0.2517333333333333,0.38095
2025-05-27 01:02:00,47.361000000000004,0.25356666666666666,0.3804166666666667
2025-05-27 01:03:00,47.486399999999996,0.2543,0.3798
2025-05-27 01:04:00,47.328516666666665,0.25376666666666664,0.37920000000000004
2025-05-27 01:05:00,47.13793333333333,0.2532,0.3786
2025-05-27 01:06:00,46.92115,0.2526,0.378
2025-05-27 01:07:00,46.845283333333334,0.25261666666666666,0.37746666666666673
2025-05-27 01:08:00,46.69588333333333,0.252,0.37693333333333334
2025-05-27 01:09:00,46.70336666666667,0.25215,0.3764
2025-05-27 01:10:00,46.78255,0.25251666666666667,0.37595000000000006
2025-05-27 01:11:00,46.803200000000004,0.2526833333333333,0.37550000000000006
2025-05-27 01:12:00,47.05788333333333,0.25423333333333337,0.37505
2025-05-27 01:13:00,47.213049999999996,0.2552,0.3746
2025-05-27 01:14:00,47.190000000000005,0.25538333333333335,0.37415000000000004
2025-05-27 01:15:00,47.35311666666667,0.2565,0.3736333333333334
2025-05-27 01:16:00,47.38588333333333,0.25705,0.37303333333333333
2025-05-27 01:17:00,47.45956666666667,0.2578166666666667,0.37243333333333334
2025-05-27 01:18:00,47.53353333333334,0.2583833333333333,0.3719
2025-05-27 01:19:00,47.60831666666667,0.25895,0.3714333333333334
2025-05-27 01:20:00,47.75253333333334,0.25988333333333336,0.37096666666666667
2025-05-27 01:21:00,47.83035,0.26045,0.37049999999999994
2025-05-27 01:22:00,47.78655,0.2604,0.36996666666666667
2025-05-27 01:23:00,47.75921666666667,0.26033333333333336,0.36951666666666666
2025-05-27 01:24:00,47.736266666666666,0.26030000000000003,0.36898333333333333
2025-05-27 01:25:00,47.69188333333334,0.26008333333333333,0.36845
2025-05-27 01:26:00,47.626083333333334,0.2599,0.3679166666666666
2025-05-27 01:27:00,47.50618333333334,0.25949999999999995,0.36746666666666666
2025-05-27 01:28:00,47.435966666666666,0.25953333333333334,0.36701666666666666
2025-05-27 01:29:00,47.16551666666667,0.25860000000000005,0.3664833333333333
2025-05-27 01:30:00,46.85723333333333,0.25743333333333335,0.3658666666666667
2025-05-27 01:31:00,46.643499999999996,0.2566333333333334,0.36533333333333334
2025-05-27 01:32:00,46.38185,0.25545,0.36479999999999996
2025-05-27 01:33:00,46.27708333333334,0.25521666666666665,0.3642666666666666
2025-05-27 01:34:00,46.0772,0.25443333333333334,0.3637333333333333
2025-05-27 01:35:00,45.72891666666666,0.2529,0.3632666666666666
2025-05-27 01:36:00,45.527566666666665,0.25215,0.36288333333333334
2025-05-27 01:37:00,45.286183333333334,0.2511833333333333,0.36241666666666666
2025-05-27 01:38:00,45.12689999999999,0.2508166666666667,0.36188333333333333
2025-05-27 01:39:00,44.943,0.2502666666666667,0.36134999999999995
2025-05-27 01:40:00,44.566433333333336,0.24856666666666669,0.3608166666666667
2025-05-27 01:41:00,44.368316666666665,0.24779999999999996,0.36028333333333334
2025-05-27 01:42:00,44.487883333333336,0.2487833333333333,0.3598166666666667
2025-05-27 01:43:00,44.67198333333333,0.25015,0.35935
2025-05-27 01:44:00,45.0686,0.2526833333333333,0.35888333333333333
2025-05-27 01:45:00,45.338116666666664,0.2546666666666667,0.3584166666666667
2025-05-27 01:46:00,45.35528333333333,0.25525,0.35795000000000005
2025-05-27 01:47:00,45.34141666666667,0.2556333333333333,0.3574833333333333
2025-05-27 01:48:00,45.2442,0.25565,0.35695
2025-05-27 01:49:00,45.153666666666666,0.25566666666666665,0.3564333333333333
2025-05-27 01:50:00,45.052483333333335,0.25571666666666665,0.3559
2025-05-27 01:51:00,44.90363333333333,0.25558333333333333,0.3553
2025-05-27 01:52:00,44.744166666666665,0.2554333333333333,0.3547
2025-05-27 01:53:00,44.49491666666667,0.2547166666666667,0.3541166666666667
2025-05-27 01:54:00,44.392466666666664,0.25475,0.35353333333333337
2025-05-27 01:55:00,44.34693333333333,0.2549666666666667,0.35295000000000004
2025-05-27 01:56:00,44.24176666666667,0.25475,0.3523666666666667
2025-05-27 01:57:00,44.13151666666667,0.25455,0.35178333333333334
2025-05-27 01:58:00,43.90773333333334,0.2535833333333333,0.35135
2025-05-27 01:59:00,43.714866666666666,0.25281666666666663,0.3509
2025-05-27 02:00:00,43.57138333333333,0.25244999999999995,0.35036666666666666
2025-05-27 02:01:00,43.33125,0.2515,0.3499166666666667
2025-05-27 02:02:00,43.02285,0.2501833333333333,0.34946666666666665
2025-05-27 02:03:00,42.66243333333333,0.2486833333333333,0.3489333333333333
2025-05-27 02:04:00,42.31883333333333,0.24718333333333337,0.34846666666666665
2025-05-27 02:05:00,42.06755,0.24603333333333333,0.348
2025-05-27 02:06:00,42.02633333333333,0.24605000000000002,0.3476166666666667
2025-05-27 02:07:00,42.09006666666666,0.24663333333333334,0.34723333333333334
2025-05-27 02:08:00,42.11261666666667,0.24701666666666672,0.34691666666666665
2025-05-27 02:09:00,42.21863333333333,0.24776666666666664,0.3466666666666667
2025-05-27 02:10:00,42.42483333333333,0.24908333333333338,0.3464333333333333
2025-05-27 02:11:00,42.58238333333333,0.25003333333333333,0.34626666666666667
2025-05-27 02:12:00,42.74843333333333,0.25098333333333334,0.34609999999999996
2025-05-27 02:13:00,42.8341,0.25155,0.3459333333333333
2025-05-27 02:14:00,42.82321666666667,0.25155000000000005,0.3458333333333333
2025-05-27 02:15:00,42.82643333333333,0.25175000000000003,0.3456666666666667
2025-05-27 02:16:00,42.68925,0.2511833333333333,0.3454333333333333
2025-05-27 02:17:00,42.53306666666666,0.2504166666666667,0.34528333333333333
2025-05-27 02:18:00,42.46076666666666,0.25021666666666664,0.3449833333333333
2025-05-27 02:19:00,42.36978333333333,0.24981666666666666,0.34476666666666667
2025-05-27 02:20:00,42.37055,0.25001666666666666,0.3445666666666667
2025-05-27 02:21:00,42.428250000000006,0.25061666666666665,0.34428333333333333
2025-05-27 02:22:00,42.416466666666665,0.2508166666666667,0.344
2025-05-27 02:23:00,42.352483333333325,0.2506333333333333,0.3438
2025-05-27 02:24:00,42.2191,0.25006666666666666,0.3436
2025-05-27 02:25:00,42.11348333333333,0.24965,0.3434
2025-05-27 02:26:00,41.92596666666667,0.24863333333333335,0.3432
2025-05-27 02:27:00,41.70438333333333,0.24746666666666667,0.343
2025-05-27 02:28:00,41.49698333333333,0.24628333333333333,0.3428
2025-05-27 02:29:00,41.23081666666666,0.24493333333333336,0.3425166666666667
2025-05-27 02:30:00,40.89905,0.24321666666666664,0.3422333333333333
2025-05-27 02:31:00,40.52943333333333,0.24128333333333335,0.34195
2025-05-27 02:32:00,40.14135,0.23935,0.34158333333333335
2025-05-27 02:33:00,39.89915,0.23818333333333333,0.3412833333333333
2025-05-27 02:34:00,39.68606666666666,0.2372,0.34099999999999997
2025-05-27 02:35:00,39.50165,0.23641666666666664,0.34069999999999995
2025-05-27 02:36:00,39.394416666666665,0.23601666666666668,0.34055
2025-05-27 02:37:00,39.305600000000005,0.23579999999999995,0.34031666666666666
2025-05-27 02:38:00,39.15623333333333,0.23518333333333336,0.34015
2025-05-27 02:39:00,39.0308,0.23479999999999998,0.33985
2025-05-27 02:40:00,38.8617,0.23401666666666662,0.3396833333333333
2025-05-27 02:41:00,38.73961666666666,0.23341666666666666,0.33951666666666663
2025-05-27 02:42:00,38.7067,0.23341666666666666,0.3392833333333333
2025-05-27 02:43:00,38.835966666666664,0.23438333333333333,0.33904999999999996
2025-05-27 02:44:00,38.964616666666664,0.23535,0.33881666666666665
2025-05-27 02:45:00,39.01806666666667,0.23596666666666666,0.33858333333333335
2025-05-27 02:46:00,38.95061666666667,0.23581666666666665,0.33835
2025-05-27 02:47:00,38.75405,0.23484999999999995,0.3381166666666667
2025-05-27 02:48:00,38.67973333333334,0.23464999999999997,0.3378
2025-05-27 02:49:00,38.530216666666675,0.23383333333333328,0.3375666666666667
2025-05-27 02:50:00,38.53536666666666,0.23399999999999999,0.3373333333333334
2025-05-27 02:51:00,38.578716666666665,0.23436666666666667,0.3371
2025-05-27 02:52:00,38.4765,0.23371666666666666,0.3368833333333333
2025-05-27 02:53:00,38.27685,0.23248333333333332,0.33666666666666667
2025-05-27 02:54:00,38.0155,0.23079999999999998,0.3363666666666667
2025-05-27 02:55:00,37.68253333333333,0.22863333333333333,0.3362166666666667
2025-05-27 02:56:00,37.36593333333333,0.22668333333333335,0.3359166666666667
2025-05-27 02:57:00,37.17711666666666,0.22546666666666665,0.3357
2025-05-27 02:58:00,37.09015,0.22506666666666666,0.33540000000000003
2025-05-27 02:59:00,37.008966666666666,0.22465000000000002,0.3351666666666667
2025-05-27 03:00:00,36.8915,0.22401666666666667,0.3348666666666667
2025-05-27 03:01:00,36.6109,0.22238333333333332,0.33456666666666673
2025-05-27 03:02:00,36.344800000000006,0.2207333333333333,0.33433333333333337
2025-05-27 03:03:00,35.978500000000004,0.21861666666666668,0.3341
2025-05-27 03:04:00,35.61365,0.2165,0.3338
2025-05-27 03:05:00,35.3061,0.21476666666666663,0.3335
2025-05-27 03:06:00,35.1088,0.2137,0.33320000000000005
